10001;I;19001;G;
8056;P;10001;I;
7023;E;2508;C;
7037;E;2519;C;
7044;E;2526;C;
7047;E;2527;C;
7050;E;2528;C;
7046;E;2529;C;
7052;E;2530;C;
7051;E;2531;C;
7064;E;2532;C;
7071;E;2533;C;
7067;E;2534;C;
7065;E;2535;C;
7053;E;2536;C;
7062;E;2537;C;
7058;E;2538;C;
7063;E;2539;C;
7056;E;2540;C;
7097;E;2541;C;
7109;E;2543;C;
7111;E;2545;C;
7093;E;2562;C;
7119;E;2565;C;
7112;E;2575;C;
7095;E;2576;C;
7226;E;2579;C;
7231;E;2586;C;
7232;E;2589;C;
7261;E;2601;C;
7246;E;2602;C;
7249;E;2606;C;
7251;E;2611;C;
7276;E;2612;C;
7288;E;2614;C;
7291;E;2634;C;
7333;E;2642;C;
7351;E;2647;C;
7343;E;2648;C;
7337;E;2649;C;
7339;E;2651;C;
7374;E;2654;C;
7365;E;2665;C;
7420;E;2676;C;
7410;E;2679;C;
7400;E;2682;C;
7411;E;2688;C;
7408;E;2689;C;
7418;E;2690;C;
7386;E;2698;C;
7393;E;2703;C;
7444;E;2732;C;
7487;E;2737;C;
7490;E;2738;C;
7491;E;2739;C;
7493;E;2740;C;
7496;E;2741;C;
7500;E;2742;C;
7501;E;2743;C;
7502;E;2744;C;
7497;E;2745;C;
7499;E;2746;C;
7505;E;2747;C;
7134;E;2765;C;
7185;E;2767;C;
7172;E;2768;C;
7206;E;2772;C;
7193;E;2779;C;
7198;E;2780;C;
7207;E;2790;C;
7214;E;2797;C;
7213;E;2798;C;
7215;E;2799;C;
7225;E;2807;C;
7428;E;2812;C;
7427;E;2815;C;
7438;E;2816;C;
7434;E;2817;C;
7430;E;2819;C;
7326;E;2839;C;
7314;E;2843;C;
509;L;7023;E;
474;L;7023;E;
506;L;7023;E;
493;L;7023;E;
540;L;7023;E;
536;L;7023;E;
523;L;7023;E;
484;L;7023;E;
488;L;7023;E;
504;L;7023;E;
494;L;7023;E;
475;L;7023;E;
501;L;7023;E;
550;L;7023;E;
522;L;7023;E;
499;L;7023;E;
500;L;7023;E;
510;L;7023;E;
517;L;7023;E;
1;L;7037;E;
2;L;7050;E;
3;L;7071;E;
4;L;7071;E;
5;L;7062;E;
6;L;7047;E;
7;L;7047;E;
8;L;7047;E;
9;L;7047;E;
10;L;7047;E;
11;L;7047;E;
12;L;7047;E;
13;L;7047;E;
14;L;7064;E;
15;L;7064;E;
16;L;7046;E;
17;L;7044;E;
18;L;7044;E;
19;L;7044;E;
20;L;7044;E;
21;L;7044;E;
22;L;7044;E;
23;L;7044;E;
24;L;7044;E;
25;L;7044;E;
26;L;7044;E;
27;L;7067;E;
28;L;7067;E;
29;L;7058;E;
30;L;7058;E;
31;L;7058;E;
32;L;7058;E;
33;L;7058;E;
34;L;7053;E;
35;L;7053;E;
36;L;7053;E;
37;L;7053;E;
38;L;7053;E;
39;L;7053;E;
40;L;7053;E;
41;L;7052;E;
42;L;7056;E;
43;L;7056;E;
44;L;7065;E;
45;L;7065;E;
46;L;7051;E;
47;L;7051;E;
48;L;7119;E;
49;L;7119;E;
50;L;7109;E;
51;L;7109;E;
52;L;7109;E;
53;L;7109;E;
54;L;7109;E;
55;L;7095;E;
56;L;7095;E;
57;L;7095;E;
58;L;7095;E;
59;L;7093;E;
60;L;7093;E;
61;L;7111;E;
62;L;7111;E;
63;L;7112;E;
64;L;7112;E;
65;L;7112;E;
66;L;7112;E;
67;L;7112;E;
68;L;7112;E;
69;L;7112;E;
70;L;7112;E;
71;L;7112;E;
72;L;7112;E;
73;L;7112;E;
74;L;7112;E;
75;L;7112;E;
76;L;7112;E;
77;L;7112;E;
78;L;7112;E;
79;L;7097;E;
80;L;7097;E;
81;L;7097;E;
82;L;7097;E;
83;L;7097;E;
84;L;7097;E;
85;L;7097;E;
86;L;7097;E;
87;L;7097;E;
88;L;7097;E;
89;L;7097;E;
90;L;7097;E;
91;L;7097;E;
92;L;7097;E;
93;L;7097;E;
94;L;7097;E;
95;L;7097;E;
96;L;7097;E;
97;L;7097;E;
98;L;7097;E;
99;L;7097;E;
100;L;7097;E;
101;L;7097;E;
102;L;7097;E;
103;L;7097;E;
104;L;7097;E;
105;L;7097;E;
106;L;7097;E;
107;L;7097;E;
108;L;7097;E;
109;L;7097;E;
110;L;7097;E;
111;L;7097;E;
112;L;7097;E;
113;L;7097;E;
114;L;7231;E;
115;L;7231;E;
116;L;7231;E;
117;L;7231;E;
118;L;7249;E;
119;L;7232;E;
120;L;7232;E;
121;L;7261;E;
122;L;7261;E;
123;L;7261;E;
124;L;7226;E;
125;L;7226;E;
126;L;7226;E;
127;L;7226;E;
128;L;7226;E;
129;L;7226;E;
130;L;7226;E;
131;L;7226;E;
132;L;7226;E;
133;L;7226;E;
134;L;7226;E;
135;L;7226;E;
136;L;7226;E;
137;L;7226;E;
138;L;7226;E;
139;L;7246;E;
140;L;7246;E;
141;L;7246;E;
142;L;7246;E;
143;L;7251;E;
144;L;7251;E;
145;L;7288;E;
146;L;7291;E;
147;L;7291;E;
148;L;7291;E;
149;L;7291;E;
515;L;7276;E;
508;L;7276;E;
555;L;7276;E;
483;L;7276;E;
497;L;7276;E;
495;L;7276;E;
487;L;7276;E;
511;L;7276;E;
150;L;7333;E;
151;L;7333;E;
152;L;7333;E;
153;L;7333;E;
154;L;7333;E;
155;L;7333;E;
156;L;7333;E;
157;L;7333;E;
158;L;7333;E;
159;L;7333;E;
160;L;7333;E;
161;L;7333;E;
162;L;7333;E;
163;L;7333;E;
164;L;7333;E;
165;L;7333;E;
166;L;7333;E;
167;L;7333;E;
168;L;7333;E;
169;L;7333;E;
170;L;7333;E;
171;L;7333;E;
172;L;7333;E;
173;L;7333;E;
174;L;7333;E;
175;L;7333;E;
176;L;7374;E;
177;L;7374;E;
178;L;7374;E;
179;L;7374;E;
180;L;7374;E;
181;L;7351;E;
182;L;7351;E;
183;L;7351;E;
184;L;7351;E;
185;L;7351;E;
186;L;7351;E;
187;L;7351;E;
188;L;7365;E;
189;L;7365;E;
190;L;7343;E;
191;L;7343;E;
192;L;7343;E;
193;L;7343;E;
194;L;7337;E;
195;L;7337;E;
196;L;7337;E;
197;L;7337;E;
198;L;7337;E;
199;L;7337;E;
200;L;7337;E;
201;L;7337;E;
202;L;7337;E;
203;L;7339;E;
